generation,engine,start_of_production,body_type,acceleration_0-62mph,maximum_speed,power_per_litre,engine_displacement,cylinder_bore,piston_stroke,kerb_weight,fuel_tank_capacity,length,width,height,wheelbase,drive_wheel,compression_ratio,engine_oil_capacity,front_track,rear_track,drag_coefficient,WeighttoPower_kgperhp,WeighttoPower_hppertonne,weighttotorque_kgpernm,weighttotorque_nmpertonne,Power_HP,Power_RPM,torque_NM,torque_RPM
"911 Targa (997, facelift 2008)",Targa 4S 3.8 (385 Hp) PDK,2008,Targa,4.7,295,101.3,3800,,,1570,67,4435,1852,1300,2350,All wheel drive (4x4),12.5,7.5,,,0.31,4.1,245.2,3.7,267.5,385,6500,420,4200
"911 Targa (997, facelift 2008)",Targa 4S 3.8 (385 Hp),2008,Targa,4.9,297,101.3,3800,,,1540,67,4435,1852,1300,2350,All wheel drive (4x4),12.5,7.5,,,0.3,3,250,3.7,272.7,385,6500,420,4200
"911 Targa (997, facelift 2008)",Targa 4 3.6 (345 Hp) PDK,2008,Targa,5,282,95.5,3614,,,1560,67,4435,1852,1310,2350,All wheel drive (4x4),12.5,7.5,,,0.3,4.5,221.2,4,250,345,6500,390,4400
"911 Targa (997, facelift 2008)",Targa 4 3.6 (345 Hp),2008,Targa,5.2,284,95.5,3614,,,1530,67,4435,1852,1310,2350,All wheel drive (4x4),12.5,7.5,,,0.3,4.4,225.5,3.9,254.9,345,6500,390,4400
"911 (997, facelift 2008)",Turbo S 3.8 (530 Hp) PDK,2010,Coupe,3.3,315,139.5,3800,,,1585,67,4450,1852,1300,2350,All wheel drive (4x4),9.8,8,,,0.31,3,334.4,2.3,441.6,530,6250,700,3175
"911 (997, facelift 2008)",Turbo 3.8 (500 Hp) PDK,2009,Coupe,3.4-3.6,312,131.6,3800,,,1595,67,4450,1852,1300,2350,All wheel drive (4x4),9.8,8,,,0.31,3.2,313.5,2.5,407.5,500,6000,650,3475
"911 (997, facelift 2008)",Turbo 3.8 (500 Hp),2009,Coupe,3.7,312,131.6,3800,,,1570,67,4450,1852,1300,2350,All wheel drive (4x4),9.8,8,,,0.31,3.1,318.5,2.4,414,500,6000,650,3475
"911 (997, facelift 2008)",GT3 RS 3.8 (450 Hp),2009,Coupe,4,310,118.5,3797,,,1370,67,4460,1808,1280,2355,Rear wheel drive,12.2,9,,,0.33,3,328.5,3.2,313.9,450,7900,430,6750
"911 (997, facelift 2008)",GT3 3.8 (435 Hp),2009,Coupe,4.1,312,114.6,3797,,,1395,67,4460,1808,1280,2355,Rear wheel drive,12,9,,,0.32,3.2,311.8,3.2,308.2,435,7600,430,6250
"911 (997, facelift 2008)",GT2 RS 3.6 (620 Hp),2010,Coupe,3.5,330,172.2,3600,100,76.6,1370,90,4469,1852,1285,2350,Rear wheel drive,9,8,,,0.34,2.2,452.6,2,510.9,620,2250,700,4600
"911 (997, facelift 2008)",Carrera GTS 3.8 (408 Hp) PDK,2010,Coupe,4.6,304,107.4,3800,,,1450,67,4435,1852,1300,2350,Rear wheel drive,12.5,7.5,,,0.31,3.6,281.4,3.5,289.7,408,7300,420,4200
"911 (997, facelift 2008)",Carrera GTS 3.8 (408 Hp),2010,Coupe,4.8,306,107.4,3800,,,1420,67,4435,1852,1300,2350,Rear wheel drive,12.5,7.5,,,0.3,3.5,287.3,3.4,295.8,408,7300,420,4200
"911 (997, facelift 2008)",Carrera 4 GTS 3.8 (408 Hp) PDK,2010,Coupe,4.4,300,107.4,3800,,,1510,67,4435,1852,1300,2350,All wheel drive (4x4),12.5,7.5,,,0.31,3.7,270.2,3.6,278.1,408,7300,420,4200
"911 (997, facelift 2008)",Carrera 4 GTS 3.8 (408 Hp),2010,Coupe,4.6,302,107.4,3800,,,1480,67,4435,1852,1300,2350,All wheel drive (4x4),12.5,7.5,,,0.3,3.6,275.7,3.5,283.8,408,7300,420,4200
"911 (997, facelift 2008)",Carrera S 3.8 (385 Hp) PDK,2008,Coupe,4.5,300,101.3,3800,,,1455,64,4435,1808,1300,2350,Rear wheel drive,12.5,7.5,,,0.3,3.8,264.6,3.5,288.7,385,6500,420,4400
"911 (997, facelift 2008)",Carrera S 3.8 (385 Hp),2008,Coupe,4.7,302,101.3,3800,,,1425,64,4435,1808,1300,2350,Rear wheel drive,12.5,7.5,,,0.29,3.7,270.2,3.4,294.7,385,6500,420,4400
"911 (997, facelift 2008)",Carrera 4S 3.8 (385 Hp) PDK,2008,Coupe,4.5,295,101.3,3800,,,1510,67,4435,1852,1300,2350,All wheel drive (4x4),12.5,7.5,,,0.3,3.9,255,3.6,278.1,385,6500,420,4400
"911 (997, facelift 2008)",Carrera 4S 3.8 (385 Hp),2008,Coupe,4.7,297,100.7,3824,,,1510,64,4435,1808,1300,2350,All wheel drive (4x4),12.5,7.5,,,0.3,3.9,255,3.6,278.1,385,6500,420,4400
"911 (997, facelift 2008)",Carrera 4 3.6 (345 Hp) PDK,2008,Coupe,4.8,282,95.5,3614,,,1500,67,4435,1852,1310,2350,All wheel drive (4x4),12.5,7.5,,,0.3,4.3,230,3.8,260,345,6500,390,4400
"911 (997, facelift 2008)",Carrera 4 3.6 (345 Hp),2008,Coupe,5,284,95.5,3614,,,1470,67,4435,1852,1310,2350,All wheel drive (4x4),12.5,7.5,,,0.3,4.3,234.7,3.8,265.3,345,6500,390,4400
"911 (997, facelift 2008)",Carrera 3.6 (345 Hp) PDK,2008,Coupe,4.7,287,95.5,3614,,,1445,64,4435,1808,1310,2350,Rear wheel drive,12.5,7.5,,,0.29,4.2,238.8,3.7,269.9,345,6500,390,4400
"911 (997, facelift 2008)",Carrera 3.6 (345 Hp),2008,Coupe,4.9,289,95.5,3614,,,1415,64,4435,1808,1310,2350,Rear wheel drive,12.5,7.5,,,0.29,4.1,243.8,3.8,261.5,345,6500,370,4400
911 Targa (997),Targa 4S 3.8 (355 Hp) Tiptronic S,2006,Targa,5.4,280,92.8,3824,,,1575,67,4427,1852,1300,2350,All wheel drive (4x4),11.8,8.5,,,0.29,4.4,225.4,3.9,254,355,6600,400,4600
911 Targa (997),Targa 4S 3.8 (355 Hp),2006,Targa,4.9,288,92.8,3824,,,1535,67,4427,1852,1300,2350,All wheel drive (4x4),11.8,8.5,,,0.29,4.3,231.3,3.8,260.6,355,6600,400,4600
911 Targa (997),Targa 4 3.6 (325 Hp) Tiptronic S,2006,Targa,5.8,275,90.4,3596,,,1550,67,4427,1852,1310,2350,All wheel drive (4x4),11.3,8.3,,,0.3,4.8,209.7,4.2,238.7,325,6800,370,4250
911 Targa (997),Targa 4 3.6 (325 Hp),2006,Targa,5.3,280,90.4,3596,,,1510,67,4427,1852,1310,2350,All wheel drive (4x4),11.3,8.3,,,0.3,4.6,215.2,4.1,245,325,6800,370,4250
911 Cabriolet (997),Turbo 3.6 (480 Hp) Tiptronic S,2007,Cabriolet,3.8,310,133.3,3600,100,76.4,1655,64,4427,1808,1310,2350,Rear wheel drive,9,8,,,0.31,3.4,290,2.7,374.6,480,6000,620,1950
911 Cabriolet (997),Turbo 3.6 (480 Hp),2007,Cabriolet,4,310,133.3,3600,100,76.4,1655,64,4427,1808,1310,2350,All wheel drive (4x4),9,8,,,0.31,3.4,290,2.7,374.6,480,6000,620,3475
911 Cabriolet (997),Carrera S 3.8 (355 Hp) Tiptronic S,2006,Cabriolet,5.4,285,92.8,3824,,,1545,64,4427,1808,1300,2350,Rear wheel drive,11.8,8.5,,,0.29,4.4,229.8,3.9,258.9,355,6600,400,4600
911 Cabriolet (997),Carrera S 3.8 (355 Hp),2006,Cabriolet,4.9,293,92.8,3824,,,1505,64,4427,1808,1300,2350,Rear wheel drive,11.8,8.5,,,0.29,4.2,235.9,3.8,265.8,355,6600,400,4600
911 Cabriolet (997),Carrera 4S 3.8 (355 Hp) Tiptronic S,2005,Cabriolet,5.4,280,92.8,3824,,,1600,67,4427,1852,1300,2350,All wheel drive (4x4),11.8,8.5,,,0.29,4.5,221.9,4,250,355,6600,400,4600
911 Cabriolet (997),Carrera 4S 3.8 (355 Hp),2005,Cabriolet,4.9,288,92.8,3824,,,1560,67,4427,1852,1300,2350,All wheel drive (4x4),11.8,8.5,,,0.29,4.4,227.6,3.9,256.4,355,6600,400,4600
911 Cabriolet (997),Carrera 4 3.6 (325 Hp) AWD Tiptronic S,2005,Cabriolet,5.8,275,90.4,3596,,,1575,67,4427,1852,1310,2350,All wheel drive (4x4),11.3,8.3,,,0.3,4.8,206.3,4.3,234.9,325,6800,370,4250
911 Cabriolet (997),Carrera 4 3.6 (325 Hp),2005,Cabriolet,5.3,280,90.4,3596,,,1535,67,4427,1852,1310,2350,All wheel drive (4x4),11.3,8.3,,,0.3,4.7,211.7,4.1,241,325,6800,370,4250
911 Cabriolet (997),Carrera 3.6 (325 Hp) Tiptronic S,2006,Cabriolet,5.7,280,90.4,3596,96,82.8,1520,64,4427,1808,1310,2350,Rear wheel drive,11.3,8.3,,,0.29,4.7,213.8,4.1,243.4,325,6800,370,4250
911 Cabriolet (997),Carrera 3.6 (325 Hp),2006,Cabriolet,5.2,285,90.4,3596,96,82.8,1480,64,4427,1808,1310,2350,Rear wheel drive,11.3,8.3,,,0.29,4.6,219.6,4,250,325,6800,370,4250
911 (997),Turbo 3.6 (480 Hp) Tiptronic S,2006,Coupe,3.7,310,133.3,3600,100,76.4,1620,67,4450,1852,1300,2350,All wheel drive (4x4),9,8,,,0.31,3.4,296.3,2.6,382.7,480,6000,620,1950
911 (997),Turbo 3.6 (480 Hp),2006,Coupe,3.9,310,133.3,3600,100,76.4,1585,67,4450,1852,1300,2350,All wheel drive (4x4),9,8,,,0.31,3.3,302.8,2.6,391.2,480,6000,620,1950
911 (997),GT3 RS 3.6 (415 Hp),2006,Coupe,4.2,310,115.3,3600,100,76.4,1375,90,4460,1852,1280,2360,Rear wheel drive,12,9,,,0.3,3.3,301.8,3.4,294.5,415,7600,405,5500
911 (997),GT3 3.6 (415 Hp),2006,Coupe,4.3,310,115.3,3600,100,76.4,1395,90,4445,1808,1280,2355,Rear wheel drive,12,9,,,0.29,3.4,297.5,3.4,290.3,415,7600,405,5500
911 (997),GT2 3.6 (530 Hp),2007,Coupe,3.7,329,147.2,3600,100,76.4,1440,90,4469,1852,1285,2350,Rear wheel drive,9,8,,,0.32,2.7,368.1,2.1,472.2,530,6500,680,3350
911 (997),Carrera S 3.8 (355 Hp) Tiptronic S,2004,Coupe,5.3,285,92.8,3824,,,1460,64,4427,1808,1300,2350,Rear wheel drive,,8.5,1465,1500,0.29,4.1,243.2,3.7,274,355,6600,400,4600
911 (997),Carrera S 3.8 (355 Hp),2004,Coupe,4.8,293,92.8,3824,,,1420,64,4427,1808,1300,2350,Rear wheel drive,,8.5,1465,1500,0.29,3,250,3.6,281.7,355,6600,400,4600
911 (997),Carrera 4S 3.8 (355 Hp) Tiptronic S,2005,Coupe,5.3,280,92.8,3824,,,1515,67,4427,1852,1300,2350,All wheel drive (4x4),11.8,8.5,1465,1500,0.29,4.3,234.3,3.8,264,355,6600,400,4600
911 (997),Carrera 4S 3.8 (355 Hp),2005,Coupe,4.8,288,92.8,3824,,,1480,67,4427,1852,1300,2350,All wheel drive (4x4),11.8,8.5,1465,1500,0.29,4.2,239.9,3.7,270.3,355,6600,400,4600
911 (997),Carrera 4 3.6 (325 Hp) Tiptronic S,2005,Coupe,5.6,275,90.4,3596,96,82.8,1490,67,4427,1852,1310,2350,All wheel drive (4x4),11.3,8.3,1465,1500,0.3,4.6,218.1,4,248.3,325,6800,370,4250
911 (997),Carrera 4 3.6 (325 Hp),2005,Coupe,5.1,280,90.4,3596,96,82.8,1450,67,4427,1852,1310,2350,All wheel drive (4x4),11.3,8.3,1465,1500,0.29,4.5,224.1,3.9,255.2,325,6800,370,4250
911 (997),Carrera 3.6 (325 Hp) Tiptronic S,2004,Coupe,5.5,280,90.4,3596,96,82.8,1510,64,4427,1808,1310,2350,Rear wheel drive,11.3,8.3,1465,1500,0.28,4.6,215.2,4.1,245,325,6800,370,4250
911 (997),Carrera 3.6 (325 Hp),2004,Coupe,5,285,90.4,3596,96,82.8,1395,64,4427,1808,1310,2350,Rear wheel drive,11.3,8.3,1465,1500,0.28,4.3,233,3.8,265.2,325,6800,370,4250
"911 Cabriolet (996, facelift 2001)",Turbo 3.6 (420 Hp) Tiptronic S,2000,Cabriolet,4.9,295,116.7,3600,,,,63,4465,1830,1295,2350,All wheel drive (4x4),9.4,8,,,,,,,,420,6000,560,3650
"911 Cabriolet (996, facelift 2001)",Turbo 3.6 (420 Hp),2000,Cabriolet,4.3,305,116.7,3600,,,,63,4465,1830,1295,2350,All wheel drive (4x4),9.4,8,,,,,,,,420,6000,560,3650
"911 Cabriolet (996, facelift 2001)",Carrera 4S 3.6 (320 Hp) Tiptronic S,2001,Cabriolet,5.9,275,89,3596,,,1620,64,4435,1830,1295,2350,Rear wheel drive,11.3,8.8,,,,5.1,197.5,4.4,228.4,320,6800,370,4250
"911 Cabriolet (996, facelift 2001)",Carrera 4S 3.6 (320 Hp),2001,Cabriolet,5.3,280,89,3596,,,1565,64,4435,1830,1295,2350,Rear wheel drive,11.3,8.8,,,,4.9,204.5,4.2,236.4,320,6800,370,4250
"911 Cabriolet (996, facelift 2001)",Carrera 4 3.6 (320 Hp) Tiptronic S,2001,Cabriolet,5.7,280,89,3596,96,82.8,1565,64,4430,1770,1305,2350,All wheel drive (4x4),11.3,8.8,1465,1500,,4.9,204.5,4.2,236.4,320,6800,370,4250
"911 Cabriolet (996, facelift 2001)",Carrera 4 3.6 (320 Hp),2001,Cabriolet,5.2,285,89,3596,96,82.8,1510,64,4430,1770,1305,2350,All wheel drive (4x4),11.3,8.8,1465,1500,,4.7,211.9,4.1,245,320,6800,370,4250
"911 Cabriolet (996, facelift 2001)",Carrera 3.6 (320 Hp) Tiptronic S,2001,Cabriolet,5.7,280,89,3596,96,82.8,1505,64,4430,1770,1305,2350,Rear wheel drive,11.3,8.8,1465,1500,,4.7,212.6,4.1,245.8,320,6800,370,4250
"911 Cabriolet (996, facelift 2001)",Carrera 3.6 (320 Hp),2001,Cabriolet,5.2,285,89,3596,96,82.8,1450,64,4430,1770,1305,2350,Rear wheel drive,11.3,8.8,1465,1500,,4.5,220.7,3.9,255.2,320,6800,370,4250
"911 Targa (996, facelift 2001)",3.6 (320 Hp) Tiptronic S,2002,Targa,5.7,280,89,3596,,,1495,64,4430,1770,1305,2350,Rear wheel drive,11.3,8.8,,,,4.7,214,4,247.5,320,6800,370,4250
"911 Targa (996, facelift 2001)",3.6 (320 Hp),2002,Targa,5.2,285,89,3596,,,1440,64,4430,1770,1305,2350,Rear wheel drive,11.3,8.8,1465,1500,,4.5,222.2,3.9,256.9,320,6800,370,4250
"911 (996, facelift 2001)",Turbo 3.6 (420 Hp) Tiptronic S,2000,Coupe,4.8,296,116.7,3600,100,76.4,1540,63,4465,1830,1295,2350,All wheel drive (4x4),9.4,8,1472,1528,,3.7,272.7,2.8,363.6,420,6000,560,3650
"911 (996, facelift 2001)",Turbo 3.6 (420 Hp),2000,Coupe,4.2,303,116.7,3600,100,76.4,1540,64,4465,1830,1295,2350,All wheel drive (4x4),9.4,8,1465,1522,,3.7,272.7,2.8,363.6,420,6000,560,2700
"911 (996, facelift 2001)",GT3 3.6 (380 Hp),2003,Coupe,4.3,306,105.6,3600,,,,89,4435,1770,1275,2355,Rear wheel drive,11.7,9,1485,1495,,,,,,380,7400,385,5000
"911 (996, facelift 2001)",GT2 3.6 (483 Hp),2001,Coupe,4.1,315,134.2,3600,,,1420,89,4450,1830,1275,2355,Rear wheel drive,9.4,8.8,,,0.34,2.9,340.1,2.2,450.7,483,5700,640,4000
"911 (996, facelift 2001)",Carrera 4S 3.6 (320 Hp) Tiptronic S,2001,Coupe,5.6,275,89,3596,96,82.8,1550,64,4435,1830,1295,2350,All wheel drive (4x4),11.3,8.8,1475,1528,,4.8,206.5,4.2,238.7,320,6800,370,4250
"911 (996, facelift 2001)",Carrera 4S 3.6 (320 Hp),2001,Coupe,5.1,280,89,3596,96,82.8,1495,64,4435,1830,1295,2350,All wheel drive (4x4),11.3,8.8,1475,1528,,4.7,214,4,247.5,320,6800,370,4250
"911 (996, facelift 2001)",Carrera 4 3.6 (320 Hp) Tiptronic S,2001,Coupe,5.5,280,89,3596,96,82.8,1510,64,4430,1770,1305,2350,All wheel drive (4x4),11.3,8.8,1465,1500,,4.7,211.9,4.1,245,320,6800,370,4250
"911 (996, facelift 2001)",Carrera 4 3.6 (320 Hp),2001,Coupe,5,285,89,3596,96,82.8,1430,64,4430,1770,1305,2350,All wheel drive (4x4),11.3,8.8,1465,1500,,4.5,223.8,3.9,258.7,320,6800,370,4250
"911 (996, facelift 2001)",Carrera 3.6 (320 Hp) Tiptronic S,2001,Coupe,5.5,280,89,3596,96,82.8,1425,64,4430,1770,1305,2350,Rear wheel drive,11.3,8.8,1465,1500,,4.5,224.6,3.9,259.6,320,6800,370,4250
"911 (996, facelift 2001)",Carrera 3.6 (320 Hp),2001,Coupe,5,285,89,3596,96,82.8,1370,64,4430,1770,1305,2350,Rear wheel drive,11.3,8.8,1465,1500,,4.3,233.6,3.7,270.1,320,6800,370,4250
911 Cabriolet (996),Carrera 4 3.4 (300 Hp) Tiptronic S,1998,Cabriolet,6.2,275,88.6,3387,96,78,,,4430,1765,1305,2350,All wheel drive (4x4),11.3,8.3,1455,1500,,,,,,300,6800,350,4600
911 Cabriolet (996),Carrera 4 3.4 (300 Hp),1998,Cabriolet,5.4,280,88.6,3387,96,78,1450,64,4430,1765,1305,2350,All wheel drive (4x4),11.3,8.3,1455,1500,,4.8,206.9,4.1,241.4,300,6800,350,4600
911 Cabriolet (996),Carrera 3.4 (300 Hp) Tiptronic S,1998,Cabriolet,6.2,275,88.6,3387,96,78,1440,,4430,1765,1305,2350,Rear wheel drive,11.3,8.3,1455,1500,,4.8,208.3,4.1,243.1,300,6800,350,4600
911 Cabriolet (996),Carrera 3.4 (300 Hp),1998,Cabriolet,5.4,280,88.6,3387,96,78,1395,64,4430,1765,1305,2350,Rear wheel drive,11.3,8.3,1455,1500,,4.7,215.1,4,250.9,300,6800,350,4600
911 (996),GT3 3.6 (360 Hp),1999,Coupe,4.8,302,100,3600,100,76.4,1350,89,4430,1765,1270,2350,Rear wheel drive,11.7,8.8,1475,1495,0.3,3.8,266.7,3.6,274.1,360,7200,370,5000
911 (996),Carrera 4 3.4 (300 Hp) Tiptronic S,1998,Coupe,6,275,88.6,3387,96,78,1420,64,4430,1765,1305,2350,All wheel drive (4x4),11.3,8.3,1455,1500,0.3,4.7,211.3,4.1,246.5,300,6800,350,4600
911 (996),Carrera 4 3.4 (300 Hp),1998,Coupe,5.2,280,88.6,3387,96,78,1375,64,4430,1765,1305,2350,All wheel drive (4x4),11.3,8.3,1455,1500,0.3,4.6,218.2,3.9,254.5,300,6800,350,4600
911 (996),Carrera 3.4 (300 Hp) Tiptronic S,1997,Coupe,,274,88.6,3387,96,78,1365,64,4430,1765,1305,2350,Rear wheel drive,11.3,8.3,1455,1500,,4.6,219.8,3.9,256.4,300,6800,350,4600
911 (996),Carrera 3.4 (300 Hp),1997,Coupe,,280,88.6,3387,96,78,1320,64,4430,1765,1305,2350,Rear wheel drive,11.3,8.3,1455,1500,,4.4,227.3,3.8,265.2,300,6800,350,4600
