generation,engine,start_of_production,body_type,acceleration_0-62mph,maximum_speed,power_per_litre,engine_displacement,cylinder_bore,piston_stroke,kerb_weight,fuel_tank_capacity,length,width,height,wheelbase,drive_wheel,compression_ratio,engine_oil_capacity,front_track,rear_track,drag_coefficient,WeighttoPower_kgperhp,WeighttoPower_hppertonne,weighttotorque_kgpernm,weighttotorque_nmpertonne,Power_HP,Power_RPM,torque_NM,torque_RPM
911 Coupe (Type 930),3.3 Turbo (282 Hp),1984,Coupe,5.4,260,85.5,3299,97,74.4,1335,85,4291,1775,1310,2272,Rear wheel drive,7,10,1432,1501,,4.7,211.2,3.4,292.1,282,5500,390,4000
911 Coupe (Type 930),3.0 Turbo (260 Hp),1975,Coupe,5.5,250,86.9,2993,95,70.4,1140-1195,80,4291,1775,1304-1320,2272,Rear wheel drive,6.5,10,1438,1511,,4.4,228.1,3.3,300.9,260,5500,343,4000
911 Coupe (Type 930),3.0 Turbo Carrera (245 Hp),1975,Coupe,5.5,250,81.9,2993,95,70.4,1195,80,4291,1775,1320,2272,Rear wheel drive,6.5,10,1438,1511,,4.9,205,3.5,287,245,5500,343,4000
911 Targa (G),3.0 SC (188 Hp),1979,Targa,7,225,62.8,2994,95,70.4,,80,4291,1652,1320,2272,Rear wheel drive,8.6,10,1369,1379,,,,,,188,5500,265,4200
911 Targa (G),3.0 SC (180 Hp),1977,Targa,7,225,60.1,2993,95,70.4,1150,80,4291,1652,1340,2272,Rear wheel drive,9.3,10,1372,1380,,6.4,156.5,4.7,213,180,5500,245,4200
911 Targa (G),3.0 Carrera (200 Hp),1977,Targa,,,66.8,2993,95,70.4,,,4291,1652,1320,2272,Rear wheel drive,8.5,10,1369,1380,,,,,,200,6000,255,4200
911 Targa (G),2.7 S (175 Hp),1974,Targa,,225,65.1,2687,90,70.4,1070,,4291,1610,1320,2271,Rear wheel drive,,,,,,6.1,163.6,4.6,219.6,175,5800,235,4000
911 Targa (G),2.7 (165 Hp),1975,Targa,,215,61.4,2687,90,70.4,1100,80,4291,1610,1320,2271,Rear wheel drive,,,1372,1345,,6.7,150,4.7,213.6,165,5800,235,4000
911 Targa (G),2.7 (150 Hp),1973,Targa,,210,55.8,2687,90,70.4,1070,,4291,1610,1320,2271,Rear wheel drive,,10,1360,1345,,7.1,140.2,4.6,219.6,150,5700,235,3800
911 Coupe (G),3.2 Carrera (231 Hp),1984,Coupe,6.1,245,73,3164,95,74.4,1210,85,4291,1652,1320,2272,Rear wheel drive,10.3,10,1372,1405,,5.2,190.9,4.3,234.7,231,5900,284,4800
911 Coupe (G),3.2 Carrera CAT (217 Hp),1986,Coupe,6.3,240,68.6,3164,95,74.4,1210,85,4291,1652,1320,2272,Rear wheel drive,9.5,10,1372,1405,,5.6,179.3,4.6,219,217,5900,265,4800
911 Coupe (G),3.2 Carrera CAT (207 Hp),1984,Coupe,6.5,235,65.4,3164,95,74.4,1210,85,4291,1652,1320,2272,Rear wheel drive,9.5,13,1372,1380,,5.8,171.1,4.6,216.5,207,5900,262,4800
911 Coupe (G),3.0 SC (204 Hp),1980,Coupe,6.8,235,68.1,2994,95,70.4,1160,80,4291,1652,1320,2272,Rear wheel drive,9.8,13,1369,1379,,5.7,175.9,4.3,230.2,204,5900,267,4300
911 Coupe (G),3.0 SC (188 Hp),1979,Coupe,7,225,62.8,2994,95,70.4,1160,80,4291,1652,1320,2272,Rear wheel drive,8.6,13,1369,1379,,6.2,162.1,4.4,228.4,188,5500,265,4200
911 Coupe (G),3.0 SC (180 Hp),1977,Coupe,7,220,60.1,2993,95,70.4,1160,85,4291,1652,1320,2272,Rear wheel drive,8.5,13,1369,1379,,6.4,155.2,4.4,228.4,180,5500,265,4200
911 Coupe (G),3.0 Carrera (200 Hp),1975,Coupe,6.5,230,66.8,2993,95,70.4,1120,80,4291,1652,1320,2272,Rear wheel drive,8.5,13,1369,1380,,5.6,178.6,4.4,227.7,200,6000,255,4200
911 Coupe (G),2.7 S (175 Hp),1974,Coupe,7.6,225,65.1,2687,90,70.4,1070,,4291,1610,1320,2271,Rear wheel drive,8.5,,1372-1398,1357-1408,,6.1,163.6,4.6,219.6,175,5800,235,4000
911 Coupe (G),2.7 Carrera (210 Hp),1974,Coupe,6.3,240,78.2,2687,90,70.4,1075,80,4291,1652,1320,2271,Rear wheel drive,8.5,13,1372,1380,,5.1,195.3,4.4,229.8,210,6300,247,5100
911 Coupe (G),2.7 (165 Hp),1975,Coupe,,215,61.4,2687,90,70.4,1100,85,4291,1610,1320,2271,Rear wheel drive,8.5,10,1372,1345,,6.7,150,4.7,213.6,165,5800,235,4000
911 Coupe (G),2.7 (150 Hp),1973,Coupe,8.5,210,55.8,2687,90,70.4,1100,,4291,1610,1320,2271,Rear wheel drive,8,11,1360,1345,,7.3,136.4,4.7,213.6,150,5700,235,3800
911 Targa (F),2.7 Carrera (210 Hp),1972,Targa,,245,78.2,2687,90,70.4,1100,,4291,1610,1320,2271,Rear wheel drive,,13,1372,1345,,5.2,190.9,,,210,6300,,
